Student_ID,School,Grade_Level,Gender,Subject,Teacher,Attendance_Rate,Homework_Score,Midterm_Score,Final_Exam_Score,Overall_Score
S1000,Greenfield Academy,JSS3,Female,Chemistry,Mrs. Mensah,84.0,78.9,70.3,94.0,83.9
S1001,Hilltop College,SS3,Female,Economics,Mrs. Mensah,80.5,50.3,89.1,66.8,70.2
S1002,Northview High,SS3,Male,Mathematics,Mr. Bello,71.5,92.3,43.1,80.7,71.7
S1003,Greenfield Academy,JSS3,Female,Biology,Mrs. Hassan,60.3,76.8,43.4,60.5,58.6
S1004,Greenfield Academy,JSS3,Male,Biology,Mrs. Okeke,79.8,49.4,71.2,74.1,68.3
S1005,Hilltop College,JSS2,Male,English,Mrs. Mensah,71.4,97.7,96.5,53.8,75.4
S1006,Northview High,SS1,Female,Chemistry,Mr. Yusuf,89.4,71.1,62.0,51.1,58.4
S1007,Northview High,SS2,Male,Chemistry,Mr. Yusuf,61.0,44.4,56.3,70.5,61.0
S1008,Greenfield Academy,JSS1,Female,Chemistry,Mrs. Okeke,83.4,77.6,74.4,64.9,70.3
S1009,Lakeside School,SS1,Female,Economics,Mr. Yusuf,97.7,55.2,95.5,70.6,75.0
S1010,Greenfield Academy,SS3,Male,English,Mr. Ade,67.0,88.2,89.4,50.1,69.5
S1011,Greenfield Academy,JSS3,Male,Chemistry,Mrs. Mensah,78.9,89.1,99.7,55.7,75.6
S1012,Greenfield Academy,SS1,Male,Economics,Mrs. Okeke,63.7,98.7,36.5,35.9,48.6
S1013,Greenfield Academy,SS2,Male,Biology,Mrs. Hassan,85.0,70.1,42.3,33.7,43.6
S1014,Hilltop College,SS3,Female,Mathematics,Mrs. Mensah,82.0,67.3,74.6,47.7,59.7
S1015,Northview High,JSS1,Female,Economics,Mrs. Okeke,76.3,85.2,88.3,35.2,61.1
S1016,Hilltop College,JSS1,Female,Biology,Mr. Bello,80.9,47.9,53.5,37.3,44.3
S1017,Hilltop College,SS2,Male,Biology,Mrs. Hassan,95.9,72.8,50.5,86.9,73.2
S1018,Hilltop College,SS2,Male,Mathematics,Mr. Bello,67.9,72.8,86.2,32.7,56.8
S1019,Greenfield Academy,JSS3,Male,Biology,Mrs. Mensah,60.9,45.4,38.7,76.1,58.7
S1020,Lakeside School,JSS1,Female,English,Mrs. Hassan,94.5,65.1,59.0,49.1,55.3
S1021,Northview High,SS3,Male,Mathematics,Mr. Yusuf,83.1,91.2,67.9,91.0,84.1
S1022,Lakeside School,SS1,Female,Biology,Mrs. Okeke,95.6,91.4,71.4,63.9,71.6
S1023,Hilltop College,SS3,Male,Physics,Mrs. Mensah,83.9,46.0,82.4,51.4,59.6
S1024,Hilltop College,JSS2,Female,Economics,Mr. Ade,92.4,45.4,58.1,66.2,59.6
S1025,Lakeside School,JSS2,Female,Biology,Mrs. Hassan,77.2,55.8,74.8,56.7,62.0
S1026,Lakeside School,SS2,Male,English,Mrs. Hassan,90.0,92.5,73.0,69.5,75.2
S1027,Lakeside School,JSS3,Male,Chemistry,Mrs. Mensah,96.5,47.7,70.6,38.0,49.7
S1028,Hilltop College,JSS2,Female,Biology,Mrs. Mensah,82.9,83.2,76.6,99.8,89.5
S1029,Hilltop College,JSS1,Female,Chemistry,Mr. Bello,67.2,46.1,51.9,59.8,54.7
S1030,Northview High,SS3,Male,Physics,Mr. Yusuf,70.8,77.4,40.5,54.4,54.8
S1031,Northview High,SS3,Male,Biology,Mr. Bello,67.9,61.4,42.8,79.7,65.0
S1032,Hilltop College,SS2,Female,Mathematics,Mr. Bello,69.9,87.3,49.6,55.5,60.1
S1033,Lakeside School,SS1,Male,Chemistry,Mr. Yusuf,72.3,54.0,67.5,88.3,75.2
S1034,Lakeside School,SS2,Female,Physics,Mr. Ade,82.2,78.4,89.6,61.8,73.5
S1035,Northview High,SS1,Female,Mathematics,Mr. Bello,83.5,54.1,80.6,80.4,75.2
S1036,Hilltop College,SS2,Male,Mathematics,Mr. Bello,77.1,82.8,86.3,37.5,61.2
S1037,Northview High,SS2,Male,Mathematics,Mrs. Hassan,84.6,92.4,57.8,89.2,80.4
S1038,Northview High,SS2,Male,Mathematics,Mr. Yusuf,63.3,47.6,61.3,81.5,68.7
S1039,Greenfield Academy,SS1,Male,Biology,Mrs. Okeke,63.5,92.0,60.6,44.8,59.0
S1040,Greenfield Academy,SS1,Male,Economics,Mr. Ade,66.9,75.6,47.5,40.2,49.5
S1041,Greenfield Academy,SS2,Female,Biology,Mr. Ade,80.7,47.6,39.0,52.1,47.3
S1042,Lakeside School,JSS2,Female,Biology,Mr. Yusuf,68.6,65.7,73.4,98.3,84.3
S1043,Hilltop College,JSS3,Male,Physics,Mrs. Mensah,71.3,49.7,99.3,48.0,63.7
S1044,Hilltop College,JSS3,Male,Physics,Mrs. Mensah,76.0,82.0,45.8,61.9,61.1
S1045,Hilltop College,JSS3,Male,Economics,Mrs. Hassan,92.5,85.5,38.0,32.1,44.6
S1046,Hilltop College,SS1,Female,Physics,Mrs. Hassan,60.6,46.3,85.7,57.8,63.9
S1047,Greenfield Academy,SS1,Male,English,Mr. Yusuf,86.0,70.4,51.4,70.0,64.5
